,open,high,low,close,volume,is_trading_day,days_since_last_trading,pct_change
2017-01-18,63.54,63.82,63.18,63.65,6420,1,1.0,-0.04711055276381826
2017-01-19,63.5,63.74,63.05,63.35,24780,1,1.0,-0.47132757266299397
2017-01-20,63.24,64.29,63.24,64.29,30450,1,1.0,1.483820047355966
2017-01-23,63.42,63.42,62.51,62.51,31755,1,3.0,-2.768704308601666
2017-01-24,62.75,63.26,61.95,62.97,27905,1,1.0,0.7358822588385827
2017-01-25,62.99,63.3,62.66,63.25,39285,1,1.0,0.4446561854851483
2017-01-26,63.51,63.88,63.22,63.88,5500,1,1.0,0.9960474308300382
2017-01-27,63.9,65.11,63.9,64.87,27010,1,1.0,1.549780839073267
2017-01-30,65.06,65.19,64.52,64.74,11265,1,3.0,-0.20040080160321772
2017-01-31,64.75,65.34,64.54,64.69,39785,1,1.0,-0.07723200494283988
2017-02-01,66.04,67.87,66.04,66.9,75710,1,1.0,3.4162930901221245
2017-02-02,66.56,68.0,66.56,67.51,49140,1,1.0,0.9118086696562111
2017-02-03,67.95,68.53,67.94,68.17,17630,1,1.0,0.9776329432676478
2017-02-06,68.33,68.33,67.01,67.61,20935,1,3.0,-0.8214757224585645
2017-02-07,67.2,67.4,65.97,66.55,23425,1,1.0,-1.567815411921314
2017-02-08,67.76,68.8,66.79,67.89,86165,1,1.0,2.013523666416228
2017-02-09,67.67,68.57,66.83,68.57,34530,1,1.0,1.0016202680807051
2017-02-10,68.27,68.27,67.5,67.69,3605,1,1.0,-1.2833600700014491
2017-02-13,67.92,68.5,67.2,68.5,21935,1,3.0,1.1966317033535345
2017-02-14,68.18,69.53,68.18,69.16,19700,1,1.0,0.9635036496350224
2017-02-15,69.2,69.91,68.95,69.91,17950,1,1.0,1.0844418739155648
2017-02-16,69.43,70.03,69.39,69.88,9405,1,1.0,-0.04291231583464228
2017-02-17,69.33,69.64,69.13,69.26,10305,1,1.0,-0.8872352604464617
2017-02-20,69.33,69.62,68.78,69.2,5340,1,3.0,-0.08663008951775852
2017-02-21,68.97,71.0,68.96,71.0,42530,1,1.0,2.6011560693641522
2017-02-22,70.85,70.85,70.23,70.24,3195,1,1.0,-1.0704225352112795
2017-02-23,71.07,71.52,70.37,70.37,44810,1,1.0,0.18507972665149364
2017-02-24,70.34,71.28,69.78,70.15,57635,1,1.0,-0.31263322438539465
2017-02-27,70.58,70.58,68.54,69.5,18540,1,3.0,-0.9265858873841903
2017-02-28,69.72,69.97,68.57,69.6,56720,1,1.0,0.14388489208632116
2017-03-01,70.52,71.09,70.5,70.77,79845,1,1.0,1.6810344827586254
2017-03-02,71.24,71.37,70.54,70.89,6525,1,1.0,0.16956337431115465
2017-03-03,69.98,70.49,69.72,70.28,10035,1,1.0,-0.8604880801241332
2017-03-06,70.65,70.91,70.16,70.75,11540,1,3.0,0.6687535571997749
2017-03-07,70.64,70.76,69.91,70.16,10200,1,1.0,-0.8339222614840991
2017-03-08,70.82,70.9,70.44,70.63,9380,1,1.0,0.6698973774230232
2017-03-09,70.62,70.63,69.26,69.96,6670,1,1.0,-0.9486054084666629
2017-03-10,69.97,70.5,69.81,70.43,9555,1,1.0,0.6718124642653089
2017-03-13,70.87,71.0,70.2,70.2,9345,1,3.0,-0.32656538406929947
2017-03-14,70.15,70.84,70.15,70.4,17715,1,1.0,0.2849002849002913
2017-03-15,70.8,70.84,70.37,70.37,8350,1,1.0,-0.042613636363642016
2017-03-16,71.05,71.91,70.82,70.82,13335,1,1.0,0.6394770498791891
2017-03-17,71.0,71.84,70.94,71.53,5190,1,1.0,1.0025416548997468
2017-03-20,71.44,72.19,71.3,72.19,49065,1,3.0,0.9226897805116652
2017-03-21,73.21,73.65,71.72,72.47,39000,1,1.0,0.38786535531236677
2017-03-22,71.57,71.67,70.51,71.67,16255,1,1.0,-1.1039050641644788
2017-03-23,71.53,73.58,71.53,73.39,7610,1,1.0,2.3998883772847757
2017-03-24,73.75,74.19,73.17,74.19,25405,1,1.0,1.0900667665894481
2017-03-27,73.66,74.19,73.6,73.89,12995,1,3.0,-0.4043671653861658
2017-03-28,73.94,74.19,73.32,73.38,11835,1,1.0,-0.6902151847340665
2017-03-29,73.92,73.92,72.71,73.24,20030,1,1.0,-0.1907876805669173
